seq_len,time_since_start,seq_idx,time_since_last_event,type_event,dim_process
36,"[0.         0.07888889 0.27666667 0.37972222 0.5475     1.00138889
 1.40666667 1.80027778 1.87166667 1.96444444 2.12361111 2.33416667
 2.36388889 2.55694444 2.64138889 2.81333333 3.4325     3.66194444
 4.19583333 4.61666667 6.01111111 6.31833333 6.47472222 6.65416667
 7.19416667 7.4825     7.61666667 7.69833333 7.87333333 7.97833333
 8.04138889 8.2825     8.35333333 8.42388889 8.51722222 8.66388889]",0,"[0.         0.07888889 0.19777778 0.10305556 0.16777778 0.45388889
 0.40527778 0.39361111 0.07138889 0.09277778 0.15916667 0.21055556
 0.02972222 0.19305556 0.08444444 0.17194444 0.61916667 0.22944444
 0.53388889 0.42083333 1.39444444 0.30722222 0.15638889 0.17944444
 0.54       0.28833333 0.13416667 0.08166667 0.175      0.105
 0.06305556 0.24111111 0.07083333 0.07055556 0.09333333 0.14666667]",[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3],10
36,"[0.         0.33138889 0.54444444 0.57777778 0.65222222 0.69944444
 0.71722222 0.79666667 1.03527778 1.11861111 1.22083333 1.31805556
 1.49666667 1.57388889 1.70916667 1.77388889 1.99055556 2.24555556
 2.27277778 2.33111111 4.16166667 4.24833333 4.32555556 4.42444444
 4.90166667 5.02583333 5.26472222 5.415      5.42777778 5.54166667
 5.57611111 5.66694444 5.71111111 5.75055556 5.82777778 6.00777778]",1,"[0.         0.33138889 0.21305556 0.03333333 0.07444444 0.04722222
 0.01777778 0.07944444 0.23861111 0.08333333 0.10222222 0.09722222
 0.17861111 0.07722222 0.13527778 0.06472222 0.21666667 0.255
 0.02722222 0.05833333 1.83055556 0.08666667 0.07722222 0.09888889
 0.47722222 0.12416667 0.23888889 0.15027778 0.01277778 0.11388889
 0.03444444 0.09083333 0.04416667 0.03944444 0.07722222 0.18      ]",[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3],10
36,"[0.         0.48472222 0.54472222 0.96444444 1.31888889 1.98777778
 2.30555556 2.68888889 2.74138889 2.78111111 2.8075     2.91638889
 2.95916667 3.1325     3.2175     3.48583333 3.515      3.72944444
 3.79083333 3.93416667 4.07972222 4.15138889 4.19555556 4.3475
 4.41333333 4.58138889 4.65416667 5.00472222 5.10944444 5.2225
 5.49583333 5.72444444 5.74111111 5.93055556 5.96555556 6.02944444]",2,"[0.         0.48472222 0.06       0.41972222 0.35444444 0.66888889
 0.31777778 0.38333333 0.0525     0.03972222 0.02638889 0.10888889
 0.04277778 0.17333333 0.085      0.26833333 0.02916667 0.21444444
 0.06138889 0.14333333 0.14555556 0.07166667 0.04416667 0.15194444
 0.06583333 0.16805556 0.07277778 0.35055556 0.10472222 0.11305556
 0.27333333 0.22861111 0.01666667 0.18944444 0.035      0.06388889]",[5 3 8 0 5 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3],10
36,"[ 0.          0.12027778  0.30888889  0.65583333  0.84138889  0.92055556
  1.10361111  1.46805556  1.55444444  1.89333333  1.94916667  2.33555556
  2.6975      3.45861111  4.47472222  4.5975      4.9825      5.1575
  5.22472222  5.61111111  5.70138889  6.04777778  6.06555556  6.29916667
  6.66222222  6.80027778  7.07888889  7.49638889  7.53638889  7.71666667
  7.88611111  8.01638889  8.81388889  9.18527778  9.28416667 10.08416667]",3,"[0.         0.12027778 0.18861111 0.34694444 0.18555556 0.07916667
 0.18305556 0.36444444 0.08638889 0.33888889 0.05583333 0.38638889
 0.36194444 0.76111111 1.01611111 0.12277778 0.385      0.175
 0.06722222 0.38638889 0.09027778 0.34638889 0.01777778 0.23361111
 0.36305556 0.13805556 0.27861111 0.4175     0.04       0.18027778
 0.16944444 0.13027778 0.7975     0.37138889 0.09888889 0.8       ]",[8 3 8 3 8 3 8 3 8 3 8 3 8 0 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 0],10
38,"[0.         0.17444444 0.33472222 0.62444444 0.75944444 0.94361111
 1.06027778 1.16861111 1.22277778 1.35638889 1.37888889 1.52472222
 1.66222222 1.78388889 1.87527778 1.95722222 2.24972222 2.3425
 2.41638889 2.55305556 3.17638889 3.43055556 3.6275     3.89361111
 4.45055556 4.73083333 5.74777778 5.84777778 5.99305556 6.63083333
 7.255      7.42388889 7.53555556 7.69166667 8.49388889 8.54111111
 9.01222222 9.31166667]",4,"[0.         0.17444444 0.16027778 0.28972222 0.135      0.18416667
 0.11666667 0.10833333 0.05416667 0.13361111 0.0225     0.14583333
 0.1375     0.12166667 0.09138889 0.08194444 0.2925     0.09277778
 0.07388889 0.13666667 0.62333333 0.25416667 0.19694444 0.26611111
 0.55694444 0.28027778 1.01694444 0.1        0.14527778 0.63777778
 0.62416667 0.16888889 0.11166667 0.15611111 0.80222222 0.04722222
 0.47111111 0.29944444]","[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 1 8 1 8 3 8 3 8 1 8 3 8 3 8 3 8
 3]",10
36,"[ 0.          0.36666667  0.41416667  0.46611111  0.52111111  0.87083333
  1.07        1.32166667  1.43472222  1.63861111  1.80416667  2.08972222
  2.845       3.19194444  3.675       3.92583333  3.98361111  4.17277778
  4.49833333  4.69888889  4.79472222  4.90944444  6.31444444  6.50527778
  7.17777778  7.29527778  7.30555556  7.69111111  9.51        9.66305556
 10.13805556 10.37138889 10.43138889 10.45916667 10.52611111 10.91833333]",5,"[0.         0.36666667 0.0475     0.05194444 0.055      0.34972222
 0.19916667 0.25166667 0.11305556 0.20388889 0.16555556 0.28555556
 0.75527778 0.34694444 0.48305556 0.25083333 0.05777778 0.18916667
 0.32555556 0.20055556 0.09583333 0.11472222 1.405      0.19083333
 0.6725     0.1175     0.01027778 0.38555556 1.81888889 0.15305556
 0.475      0.23333333 0.06       0.02777778 0.06694444 0.39222222]",[5 3 8 3 8 3 8 1 6 1 6 1 5 1 5 3 8 3 8 3 8 3 8 3 8 3 8 1 6 1 6 1 6 1 6 0],10
36,"[0.         0.17583333 0.27027778 0.35388889 0.45916667 0.63305556
 0.64527778 0.72472222 1.00944444 1.13083333 1.92166667 2.00638889
 2.06166667 2.23083333 2.3925     2.70666667 2.78111111 2.88277778
 3.02972222 3.19388889 3.25694444 3.38027778 3.51555556 3.61111111
 3.63388889 3.97194444 4.05333333 4.12833333 4.27305556 4.36194444
 4.43611111 4.46472222 4.63166667 4.80222222 5.4125     5.43444444]",6,"[0.         0.17583333 0.09444444 0.08361111 0.10527778 0.17388889
 0.01222222 0.07944444 0.28472222 0.12138889 0.79083333 0.08472222
 0.05527778 0.16916667 0.16166667 0.31416667 0.07444444 0.10166667
 0.14694444 0.16416667 0.06305556 0.12333333 0.13527778 0.09555556
 0.02277778 0.33805556 0.08138889 0.075      0.14472222 0.08888889
 0.07416667 0.02861111 0.16694444 0.17055556 0.61027778 0.02194444]",[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3],10
38,"[0.         0.25361111 0.36083333 0.50472222 0.60444444 0.73
 0.80472222 0.95444444 1.04444444 1.22666667 1.25027778 1.30666667
 1.31777778 1.41277778 1.42638889 1.47027778 1.48333333 1.87555556
 2.16611111 2.47361111 2.53861111 2.57388889 2.62083333 2.66861111
 3.13305556 3.1475     4.92944444 5.48472222 5.51833333 5.70555556
 5.74638889 5.83027778 5.89916667 6.03138889 8.08527778 8.33083333
 8.37611111 8.67777778]",7,"[0.         0.25361111 0.10722222 0.14388889 0.09972222 0.12555556
 0.07472222 0.14972222 0.09       0.18222222 0.02361111 0.05638889
 0.01111111 0.095      0.01361111 0.04388889 0.01305556 0.39222222
 0.29055556 0.3075     0.065      0.03527778 0.04694444 0.04777778
 0.46444444 0.01444444 1.78194444 0.55527778 0.03361111 0.18722222
 0.04083333 0.08388889 0.06888889 0.13222222 2.05388889 0.24555556
 0.04527778 0.30166667]","[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 5 0 5 3 8 3 8 3 8 3 8 3 8
 3]",10
38,"[0.         0.22527778 0.28055556 0.44027778 0.44944444 0.83222222
 0.855      0.96777778 1.05055556 1.09888889 1.1125     1.28055556
 1.75833333 2.0875     2.11722222 2.51027778 2.86027778 3.12944444
 3.28305556 3.68611111 3.94111111 4.15444444 4.17       4.59722222
 5.59777778 5.92583333 6.22861111 6.52444444 6.57888889 6.78194444
 6.95611111 7.34805556 7.84222222 8.15611111 8.1725     8.35416667
 9.13777778 9.25472222]",8,"[0.         0.22527778 0.05527778 0.15972222 0.00916667 0.38277778
 0.02277778 0.11277778 0.08277778 0.04833333 0.01361111 0.16805556
 0.47777778 0.32916667 0.02972222 0.39305556 0.35       0.26916667
 0.15361111 0.40305556 0.255      0.21333333 0.01555556 0.42722222
 1.00055556 0.32805556 0.30277778 0.29583333 0.05444444 0.20305556
 0.17416667 0.39194444 0.49416667 0.31388889 0.01638889 0.18166667
 0.78361111 0.11694444]","[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 1 8 3 8 0 5 1 6 1 6 3 8 1 8 0 5 0 8
 3]",10
36,"[0.         0.23222222 0.26388889 0.45361111 0.59027778 0.84916667
 0.89083333 1.09111111 1.145      1.35472222 1.64555556 2.05666667
 2.09583333 2.34861111 2.705      2.97694444 3.11416667 3.28388889
 3.48305556 3.63138889 3.69805556 3.82861111 6.13555556 6.41416667
 6.50638889 6.74694444 6.77083333 7.13194444 7.22972222 7.32638889
 7.37388889 7.41277778 7.45666667 7.66361111 7.96       8.49222222]",9,"[0.         0.23222222 0.03166667 0.18972222 0.13666667 0.25888889
 0.04166667 0.20027778 0.05388889 0.20972222 0.29083333 0.41111111
 0.03916667 0.25277778 0.35638889 0.27194444 0.13722222 0.16972222
 0.19916667 0.14833333 0.06666667 0.13055556 2.30694444 0.27861111
 0.09222222 0.24055556 0.02388889 0.36111111 0.09777778 0.09666667
 0.0475     0.03888889 0.04388889 0.20694444 0.29638889 0.53222222]",[8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 3 8 0],10
