,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,3.0,0,0.00022803200045018457,"[np.int64(1), np.int64(1), np.int64(1), np.int64(0)]",25,1024,0
1,1,3.0,1,0.0027844030009873677,"[np.int64(1), np.int64(1), np.int64(1), np.int64(0)]",25,1024,0
2,2,6.0,3,0.003919631002645474,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,0
3,4,6.0,5,0.004999279000912793,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,0
4,8,6.0,9,0.006142608999653021,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,0
5,16,6.0,17,0.007416033000481548,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,0
6,32,6.0,33,0.009371680000185734,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,0
7,64,6.0,65,0.011732375001884066,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,0
8,128,6.0,129,0.015935966002871282,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,0
9,256,6.0,257,0.025206649999745423,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,0
10,512,6.0,513,0.04964362200189498,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,0
11,1024,6.0,1025,0.12521710800137953,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,0
12,0,6.0,1025,0.12882381100280327,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,1
13,1,6.0,1026,0.13133883900081855,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,1
14,2,6.0,1027,0.13376582500131917,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,1
15,4,6.0,1029,0.13635435400283313,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,1
16,8,6.0,1033,0.1394735860012588,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,1
17,16,6.0,1041,0.1433119400026044,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,1
18,32,6.0,1057,0.14886231800119276,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,1
19,64,6.0,1089,0.15729760600152076,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,1
20,128,6.0,1153,0.1717222410006798,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,1
21,256,6.0,1281,0.19978571700266912,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,1
22,512,6.0,1537,0.26033664900023723,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,1
23,1024,6.0,2049,0.40632010199988144,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0)]",25,1024,1
